2019-10-05 04:42:49.142567	https://www.encodeproject.org/report/?type=Experiment&status=released&assay_slims=DNA+binding&assay_title=Control+ChIP-seq&assembly=GRCh38&limit=all
ID	Accession	Assay name	Assay title	Target of assay	Target gene symbol	Biosample summary	Biosample term name	Description	Lab	Project	Status	Files	Biosample accession	Biological replicate	Technical replicate	Linked antibody	Organism	Life stage	Age	Age units	Biosample treatment	Biosample treatment ontology ID	Biosample treatment concentration	Biosample treatment concentration units	Biosample treatment duration	Biosample treatment duration units	Synchronization	Post-synchronization time	Post-synchronization time units	Replicates
/experiments/ENCSR814UCX/	ENCSR814UCX	ChIP-seq	Control ChIP-seq	Control		K562	K562	Control ChIP-seq in K562	Xiang-Dong Fu, UCSD	ENCODE	released	/files/ENCFF087SCF/,/files/ENCFF439OMO/,/files/ENCFF221JFQ/,/files/ENCFF021SBT/,/files/ENCFF274SSL/,/files/ENCFF375ZQH/,/files/ENCFF282EIV/,/files/ENCFF819KWY/,/files/ENCFF330GUW/,/files/ENCFF619ADI/	ENCBS488ZQI,ENCBS029KIU	1,2	1		Homo sapiens	adult	53	year										/replicates/96ba9db1-0ab2-437a-919c-981bbc5009c5/,/replicates/5556dd4f-ffca-432b-ab48-895aeb8babce/
/experiments/ENCSR890MJO/	ENCSR890MJO	ChIP-seq	Control ChIP-seq	Control		trophoblast cell originated from H1	trophoblast cell		Bing Ren, UCSD	Roadmap	released	/files/ENCFF731PKL/,/files/ENCFF312JHP/,/files/ENCFF712HLV/,/files/ENCFF327PTM/,/files/ENCFF043HHU/,/files/ENCFF600MLA/	ENCBS392DBQ	1	1		Homo sapiens	embryonic	unknown											/replicates/09fc000e-12b6-4df5-a329-f8464280c166/
/experiments/ENCSR919WHB/	ENCSR919WHB	ChIP-seq	Control ChIP-seq	Control		CD4-positive, alpha-beta memory T cell originated from blood cell	CD4-positive, alpha-beta memory T cell		Bradley Bernstein, Broad	Roadmap	released	/files/ENCFF924EEL/,/files/ENCFF760HHZ/,/files/ENCFF694TXM/,/files/ENCFF852THR/,/files/ENCFF335WGQ/,/files/ENCFF950IVM/	ENCBS860UZS	1	1		Homo sapiens	unknown	unknown											/replicates/31e36629-ca7d-4a7f-83fe-797cd0724f91/
/experiments/ENCSR000DQQ/	ENCSR000DQQ	ChIP-seq	Control ChIP-seq	Control		B cell female adult (27 years)	B cell	Control ChIP-seq on human CD20+ (RO01794)	John Stamatoyannopoulos, UW	ENCODE	released	/files/ENCFF001HAN/,/files/ENCFF001HAO/,/files/ENCFF001HAY/,/files/ENCFF024LIF/,/files/ENCFF390WET/,/files/ENCFF449OJH/,/files/ENCFF211ZXO/	ENCBS484ENC	1	1		Homo sapiens	adult	27	year										/replicates/575b6aab-9ccd-4926-9ba2-24400fb2d5b1/
/experiments/ENCSR802ZTF/	ENCSR802ZTF	ChIP-seq	Control ChIP-seq	Control		duodenal mucosa male adult (76 years)	duodenal mucosa		Bradley Bernstein, Broad	Roadmap	released	/files/ENCFF836QBV/,/files/ENCFF404BCD/,/files/ENCFF627LYX/,/files/ENCFF399FXT/,/files/ENCFF578SRP/,/files/ENCFF532YYZ/,/files/ENCFF008BGE/	ENCBS500NMQ	1	1		Homo sapiens	adult	76	year										/replicates/a65c9510-a9bb-43ed-b2dc-537e749d2871/
/experiments/ENCSR123WDC/	ENCSR123WDC	ChIP-seq	Control ChIP-seq	Control		CD8-positive, alpha-beta memory T cell	CD8-positive, alpha-beta memory T cell		Bradley Bernstein, Broad	Roadmap	released	/files/ENCFF487QTZ/,/files/ENCFF125KUA/,/files/ENCFF334PMW/,/files/ENCFF057JTH/,/files/ENCFF687IMZ/,/files/ENCFF500BRG/,/files/ENCFF229QTT/,/files/ENCFF497ETK/,/files/ENCFF079EZT/,/files/ENCFF933YVJ/,/files/ENCFF098OGE/,/files/ENCFF512YRG/,/files/ENCFF719RQC/,/files/ENCFF795IHO/,/files/ENCFF880RNV/	ENCBS812CKJ,ENCBS771DYQ	1,2	3		Homo sapiens	unknown	unknown											/replicates/fe407434-7d45-4ae6-9a14-e267fb3ff9a3/,/replicates/bc03e724-2041-459c-9879-61b6c88834f8/
/experiments/ENCSR566AEL/	ENCSR566AEL	ChIP-seq	Control ChIP-seq	Control		heart embryo (101 day)	heart		Bradley Bernstein, Broad	Roadmap	released	/files/ENCFF580WVU/,/files/ENCFF358ZQU/,/files/ENCFF337XPB/,/files/ENCFF312AFW/,/files/ENCFF539XBF/,/files/ENCFF589TFO/	ENCBS771ONG	1	1		Homo sapiens	embryonic	101	day										/replicates/7a0ab60f-97df-4b1c-bad6-16f1075028e3/
/experiments/ENCSR084AIG/	ENCSR084AIG	ChIP-seq	Control ChIP-seq	Control		K562	K562	Control ChIP-seq in K562	Xiang-Dong Fu, UCSD	ENCODE	released	/files/ENCFF577LLL/,/files/ENCFF363JFD/,/files/ENCFF641CEP/,/files/ENCFF493QSH/,/files/ENCFF814YFG/,/files/ENCFF560NTV/,/files/ENCFF120YSP/,/files/ENCFF906SAI/,/files/ENCFF310YRB/,/files/ENCFF403MPD/	ENCBS990OSB,ENCBS168OEK	2,1	1		Homo sapiens	adult	53	year										/replicates/a1e11533-2075-439c-b8f1-beef9ae75786/,/replicates/7b7c1a72-56bf-48da-8f3e-9fd179b96eb6/
/experiments/ENCSR603VTC/	ENCSR603VTC	ChIP-seq	Control ChIP-seq	Control		brain female embryo (120 days)	brain		Bradley Bernstein, Broad	Roadmap	released	/files/ENCFF515OUC/,/files/ENCFF582CRV/,/files/ENCFF818YVY/,/files/ENCFF067UIL/,/files/ENCFF393EMH/,/files/ENCFF946LBA/,/files/ENCFF603OAT/	ENCBS604GZI	1	4		Homo sapiens	embryonic	120	day										/replicates/7921224c-8da5-4985-9d71-9c2a7a82632d/
/experiments/ENCSR253EQJ/	ENCSR253EQJ	ChIP-seq	Control ChIP-seq	Control		common myeloid progenitor, CD34-positive	common myeloid progenitor, CD34-positive		Bradley Bernstein, Broad	Roadmap	released	/files/ENCFF698RZR/,/files/ENCFF960NON/,/files/ENCFF381JHM/,/files/ENCFF564LSD/,/files/ENCFF245UWO/,/files/ENCFF206KXB/,/files/ENCFF698YSR/,/files/ENCFF810IYD/,/files/ENCFF758JSD/,/files/ENCFF326TJI/,/files/ENCFF977GKS/	ENCBS776VFS,ENCBS119ZSZ	1,2	1		Homo sapiens	unknown	unknown											/replicates/dc9e3d89-d8de-4c5e-8d54-86c55cd554e9/,/replicates/bf27bbf1-a519-4613-8ed6-a09611cb492d/
