2019-10-04 23:39:09.039452	https://www.encodeproject.org/report/?type=Experiment&status=released&assay_slims=DNA+binding&assay_title=TF+ChIP-seq&assembly=GRCh38&limit=all
ID	Accession	Assay name	Assay title	Target of assay	Target gene symbol	Biosample summary	Biosample term name	Description	Lab	Project	Status	Files	Biosample accession	Biological replicate	Technical replicate	Linked antibody	Organism	Life stage	Age	Age units	Biosample treatment	Biosample treatment ontology ID	Biosample treatment concentration	Biosample treatment concentration units	Biosample treatment duration	Biosample treatment duration units	Synchronization	Post-synchronization time	Post-synchronization time units	Replicates
/experiments/ENCSR000DYT/	ENCSR000DYT	ChIP-seq	TF ChIP-seq	SREBF2	SREBF2	GM12878	GM12878	SREBF2 ChIP-seq on human GM12878 produced by the Snyder lab	Michael Snyder, Stanford	ENCODE	released	/files/ENCFF000WED/,/files/ENCFF000WEE/,/files/ENCFF000WEF/,/files/ENCFF000WEH/,/files/ENCFF000WEJ/,/files/ENCFF000WEK/,/files/ENCFF001VFK/,/files/ENCFF764ZSP/,/files/ENCFF154GZC/,/files/ENCFF593LWQ/,/files/ENCFF637TAF/,/files/ENCFF624BPH/,/files/ENCFF244RKG/,/files/ENCFF314CZZ/,/files/ENCFF458KUX/	ENCBS630AAA	2,1	1	ENCAB000ALD	Homo sapiens	adult	unknown											/replicates/4efdaaa3-5f51-468d-bd73-db7d053b4e60/,/replicates/84358f2a-5e3c-4887-9ac7-1a76f6b14364/
/experiments/ENCSR854IPI/	ENCSR854IPI	ChIP-seq	TF ChIP-seq	eGFP-ZNF707	ZNF707	HEK293 genetically modified using site-specific recombination originated from HEK293	HEK293	eGFP-ZNF707 ChIP-seq on human HEK293 cells.	Michael Snyder, Stanford	ENCODE	released	/files/ENCFF522POF/,/files/ENCFF210PVG/,/files/ENCFF926PZX/,/files/ENCFF438MFB/,/files/ENCFF658DRD/,/files/ENCFF242WRO/,/files/ENCFF759UXN/,/files/ENCFF661VJW/,/files/ENCFF087ZAI/,/files/ENCFF970VYD/,/files/ENCFF384ART/,/files/ENCFF229ETI/,/files/ENCFF348FTZ/,/files/ENCFF581SCM/,/files/ENCFF580GVD/,/files/ENCFF881MTS/,/files/ENCFF484NGW/,/files/ENCFF299JKF/,/files/ENCFF244RZK/,/files/ENCFF316OES/,/files/ENCFF685EYO/,/files/ENCFF293RJU/,/files/ENCFF186SKD/,/files/ENCFF686LZD/,/files/ENCFF114AMU/,/files/ENCFF053UVX/,/files/ENCFF328GOV/,/files/ENCFF978VXZ/,/files/ENCFF982HIB/,/files/ENCFF167AVN/,/files/ENCFF184MOE/,/files/ENCFF215OUI/,/files/ENCFF675EFN/,/files/ENCFF446BDT/,/files/ENCFF557HEF/,/files/ENCFF629SOV/,/files/ENCFF385YRQ/,/files/ENCFF552HZV/,/files/ENCFF345AIP/,/files/ENCFF077AAA/,/files/ENCFF019YHK/,/files/ENCFF849QRB/,/files/ENCFF825QEY/,/files/ENCFF735QIK/	ENCBS402FLP,ENCBS249ESB	1,2	1	ENCAB976SGG	Homo sapiens	embryonic	unknown											/replicates/3822f769-b561-4058-9326-1353b72a575c/,/replicates/2120690e-ca6d-4b75-adce-3eaeec58ff50/
/experiments/ENCSR185FOY/	ENCSR185FOY	ChIP-seq	TF ChIP-seq	eGFP-ZNF341	ZNF341	HEK293 genetically modified using site-specific recombination originated from HEK293	HEK293	eGFP-ZNF341 ChIP-seq on human HEK293 cells.	Michael Snyder, Stanford	ENCODE	released	/files/ENCFF176QOJ/,/files/ENCFF436WRK/,/files/ENCFF198ZVP/,/files/ENCFF677QBQ/,/files/ENCFF653DEE/,/files/ENCFF012WDB/,/files/ENCFF770AZF/,/files/ENCFF653XKX/,/files/ENCFF219EYD/,/files/ENCFF707OMI/,/files/ENCFF512NLI/,/files/ENCFF481VHV/,/files/ENCFF863FWC/,/files/ENCFF061ARJ/,/files/ENCFF851HEA/,/files/ENCFF856HFS/,/files/ENCFF851EAQ/,/files/ENCFF920UUD/,/files/ENCFF747KPL/,/files/ENCFF431WDE/,/files/ENCFF615MVD/,/files/ENCFF302HZY/,/files/ENCFF109HQB/,/files/ENCFF681NYX/,/files/ENCFF943TUH/,/files/ENCFF150HGM/,/files/ENCFF923HBZ/,/files/ENCFF901JLS/,/files/ENCFF770OSZ/,/files/ENCFF587VYD/,/files/ENCFF269HYW/,/files/ENCFF993OLB/,/files/ENCFF868ZYE/,/files/ENCFF333IRA/,/files/ENCFF555ZSX/,/files/ENCFF604IFM/,/files/ENCFF003ZGQ/,/files/ENCFF130VOX/,/files/ENCFF639SOF/,/files/ENCFF177UUV/,/files/ENCFF577FDT/,/files/ENCFF357GBQ/,/files/ENCFF994PZP/,/files/ENCFF482CYW/	ENCBS020GOD,ENCBS015PWI	1,2	1	ENCAB976SGG	Homo sapiens	embryonic	unknown											/replicates/933a2fdd-8686-4dc8-b616-42cb7f022430/,/replicates/0be498ed-716d-4130-be06-11d9f712f03f/
/experiments/ENCSR523XCR/	ENCSR523XCR	ChIP-seq	TF ChIP-seq	RNF2	RNF2	HepG2	HepG2	RNF2 ChIP-seq on human HepG2	Michael Snyder, Stanford	ENCODE	released	/files/ENCFF419KCV/,/files/ENCFF544GHE/,/files/ENCFF361RFX/,/files/ENCFF786WVF/,/files/ENCFF163KYP/,/files/ENCFF479BPN/,/files/ENCFF299MOY/,/files/ENCFF891VNH/,/files/ENCFF972VIQ/,/files/ENCFF788UAI/,/files/ENCFF484PEF/,/files/ENCFF807RTB/,/files/ENCFF419LMR/,/files/ENCFF471DDR/,/files/ENCFF868YQL/,/files/ENCFF003FGN/,/files/ENCFF387MBI/,/files/ENCFF009QQM/,/files/ENCFF212ZMU/,/files/ENCFF853EJT/,/files/ENCFF850MPH/,/files/ENCFF534RDA/,/files/ENCFF287PTX/,/files/ENCFF447ZWG/,/files/ENCFF466JPA/,/files/ENCFF439JRZ/,/files/ENCFF961RUG/,/files/ENCFF157NZZ/,/files/ENCFF498ZYI/,/files/ENCFF015EQK/,/files/ENCFF046DYH/,/files/ENCFF108RSB/,/files/ENCFF543DUQ/,/files/ENCFF278IYV/,/files/ENCFF866ZRE/,/files/ENCFF061SNC/,/files/ENCFF380SYL/,/files/ENCFF657PHW/,/files/ENCFF581OFN/,/files/ENCFF341QJT/,/files/ENCFF846ZLV/,/files/ENCFF355ARZ/,/files/ENCFF075BYZ/,/files/ENCFF184BEJ/	ENCBS716YFX,ENCBS777STD	1,3	1	ENCAB000BEA	Homo sapiens	child	15	year										/replicates/648d477a-6b39-446d-974d-e4914d4ab7cf/,/replicates/42495a23-8404-49ff-9ff2-6ffc810003c4/
/experiments/ENCSR597VGC/	ENCSR597VGC	ChIP-seq	TF ChIP-seq	ETV6	ETV6	GM12878	GM12878	ETV6 ChIP-seq on human GM12878	Michael Snyder, Stanford	ENCODE	released	/files/ENCFF425VPI/,/files/ENCFF218VQM/,/files/ENCFF654ZNL/,/files/ENCFF002EJZ/,/files/ENCFF002EKA/,/files/ENCFF002EKB/,/files/ENCFF002EKC/,/files/ENCFF959JZX/,/files/ENCFF831JVY/,/files/ENCFF422WMJ/,/files/ENCFF862QRJ/,/files/ENCFF616LHO/,/files/ENCFF917DPO/,/files/ENCFF160UHF/,/files/ENCFF356UKE/,/files/ENCFF516AJC/,/files/ENCFF403EMJ/,/files/ENCFF381TID/,/files/ENCFF481EUA/,/files/ENCFF102NUJ/,/files/ENCFF927YIG/,/files/ENCFF602HXV/,/files/ENCFF336ZDO/,/files/ENCFF134JDG/,/files/ENCFF223SSQ/,/files/ENCFF619OWB/,/files/ENCFF239BVP/,/files/ENCFF780DCP/,/files/ENCFF081JNI/,/files/ENCFF377GCQ/,/files/ENCFF781OEM/,/files/ENCFF229JRX/,/files/ENCFF865MRA/,/files/ENCFF642CBH/,/files/ENCFF235FDS/,/files/ENCFF714EVJ/,/files/ENCFF427FJT/,/files/ENCFF196WZJ/,/files/ENCFF058VWP/,/files/ENCFF746UHI/,/files/ENCFF662QXE/,/files/ENCFF328AZH/,/files/ENCFF488UQC/,/files/ENCFF717JID/,/files/ENCFF275VNI/,/files/ENCFF207IAM/,/files/ENCFF570EKG/,/files/ENCFF897TSJ/,/files/ENCFF979BQI/,/files/ENCFF110IKS/,/files/ENCFF116AMK/,/files/ENCFF170DHA/,/files/ENCFF578GCS/,/files/ENCFF294XAI/,/files/ENCFF811XME/,/files/ENCFF304WER/	ENCBS260WJQ,ENCBS802GDX	2,1	1	ENCAB997CJG	Homo sapiens	adult	unknown											/replicates/d3bc4de1-5dfa-42fe-b97e-b453535599c3/,/replicates/424b36f9-2097-41e6-be67-f55c28a54fa8/
/experiments/ENCSR237VLT/	ENCSR237VLT	ChIP-seq	TF ChIP-seq	ZBTB40	ZBTB40	K562	K562	ZBTB40 ChIP-seq on human K562	Michael Snyder, Stanford	ENCODE	released	/files/ENCFF893OYD/,/files/ENCFF318VEB/,/files/ENCFF520UHF/,/files/ENCFF687MII/,/files/ENCFF673KNX/,/files/ENCFF297TMP/,/files/ENCFF861YTF/,/files/ENCFF295CQL/,/files/ENCFF093ZCG/,/files/ENCFF280CXE/,/files/ENCFF285JPS/,/files/ENCFF882ZUY/,/files/ENCFF789ZEC/,/files/ENCFF775MLD/,/files/ENCFF873BRB/,/files/ENCFF149LTH/,/files/ENCFF271VVA/,/files/ENCFF879HIN/,/files/ENCFF386OLG/,/files/ENCFF556ANS/,/files/ENCFF486KRK/,/files/ENCFF455HJE/,/files/ENCFF564UTR/,/files/ENCFF118UYB/,/files/ENCFF058FAF/,/files/ENCFF980KGS/,/files/ENCFF403VRU/,/files/ENCFF317PUE/,/files/ENCFF571NDF/,/files/ENCFF870XSS/,/files/ENCFF088LZZ/,/files/ENCFF429WFB/,/files/ENCFF293ZSN/,/files/ENCFF853IOO/,/files/ENCFF707CDO/,/files/ENCFF417LEJ/,/files/ENCFF361LXO/,/files/ENCFF727WJU/,/files/ENCFF839XGU/,/files/ENCFF593VVO/,/files/ENCFF095LZU/,/files/ENCFF618LQL/,/files/ENCFF198FDZ/,/files/ENCFF217UMI/	ENCBS048GNZ,ENCBS603CUX	2,1	1	ENCAB373DVF	Homo sapiens	adult	53	year										/replicates/dd13dd83-a3ab-473a-86e3-b516bb99c657/,/replicates/a1c8f7e6-fa1e-4896-bf84-aeaaa9481386/
/experiments/ENCSR664OKA/	ENCSR664OKA	ChIP-seq	TF ChIP-seq	ELK1	ELK1	IMR-90	IMR-90	ELK1 ChIP-seq on human IMR-90	Michael Snyder, Stanford	ENCODE	released	/files/ENCFF002EVT/,/files/ENCFF002EVU/,/files/ENCFF073KSR/,/files/ENCFF085JGZ/,/files/ENCFF898FWJ/,/files/ENCFF391YGA/,/files/ENCFF870JSA/,/files/ENCFF216ADV/,/files/ENCFF422DHE/,/files/ENCFF505MRY/,/files/ENCFF479LYA/,/files/ENCFF474PWA/,/files/ENCFF535SHH/,/files/ENCFF782GMN/,/files/ENCFF644WLR/,/files/ENCFF324AFY/,/files/ENCFF147QXV/,/files/ENCFF577IGI/,/files/ENCFF306SXM/,/files/ENCFF625AUG/,/files/ENCFF254NZJ/,/files/ENCFF736FZN/,/files/ENCFF889WRZ/,/files/ENCFF285OBI/,/files/ENCFF757YVY/,/files/ENCFF373ZTY/,/files/ENCFF046HVR/,/files/ENCFF139JUR/,/files/ENCFF809WFD/,/files/ENCFF878ADH/,/files/ENCFF512XYU/,/files/ENCFF090ZGT/,/files/ENCFF024KSO/,/files/ENCFF853RJB/,/files/ENCFF681EXR/,/files/ENCFF196XWS/,/files/ENCFF407HRS/,/files/ENCFF121UGT/,/files/ENCFF795HAR/,/files/ENCFF271SZD/,/files/ENCFF665XXY/,/files/ENCFF687IUD/	ENCBS648SCY,ENCBS486FIC	1,2	1	ENCAB000AGB	Homo sapiens	embryonic	16	week										/replicates/9f278ce5-8f44-47b5-b9a5-1fed5a053c35/,/replicates/b0b3f7f2-c753-48ac-85c5-f33ab0ac926e/
/experiments/ENCSR228PGT/	ENCSR228PGT	ChIP-seq	TF ChIP-seq	eGFP-ZNF292	ZNF292	HEK293 genetically modified using site-specific recombination originated from HEK293	HEK293	eGFP-ZNF292 ChIP-seq on human HEK293 cells.	Michael Snyder, Stanford	ENCODE	released	/files/ENCFF619CUO/,/files/ENCFF104INT/,/files/ENCFF204KUD/,/files/ENCFF832UNH/,/files/ENCFF335XVH/,/files/ENCFF914NNT/,/files/ENCFF368MMZ/,/files/ENCFF563SXZ/,/files/ENCFF828PXU/,/files/ENCFF332IHG/,/files/ENCFF329FLI/,/files/ENCFF210NGO/,/files/ENCFF018JLV/,/files/ENCFF895GXB/,/files/ENCFF353DEA/,/files/ENCFF913OQJ/,/files/ENCFF926QLD/,/files/ENCFF026UAU/,/files/ENCFF453AYJ/,/files/ENCFF823KCQ/,/files/ENCFF820PMN/,/files/ENCFF452ZAU/,/files/ENCFF130DTW/,/files/ENCFF562PHN/,/files/ENCFF526BBH/,/files/ENCFF565PHP/,/files/ENCFF559OMC/,/files/ENCFF667FUC/,/files/ENCFF853URA/,/files/ENCFF312LNF/,/files/ENCFF919FLT/,/files/ENCFF556QOU/,/files/ENCFF042ZDE/,/files/ENCFF979ADD/,/files/ENCFF329BDE/,/files/ENCFF170SBN/,/files/ENCFF944YIM/,/files/ENCFF828CGK/,/files/ENCFF716YOI/,/files/ENCFF702CJP/,/files/ENCFF083BWU/,/files/ENCFF229LRU/,/files/ENCFF970WTM/,/files/ENCFF639RPS/	ENCBS918UBA,ENCBS829KGK	2,1	1	ENCAB976SGG	Homo sapiens	embryonic	unknown											/replicates/8eab288e-5545-433a-9154-1a743b0c9621/,/replicates/6291f1cb-8568-48a8-9ed6-530ca049ee81/
/experiments/ENCSR000BNT/	ENCSR000BNT	ChIP-seq	TF ChIP-seq	YY1	YY1	HepG2	HepG2	YY1 ChIP-seq protocol v041610.1 on human HepG2	Richard Myers, HAIB	ENCODE	released	/files/ENCFF000PRV/,/files/ENCFF000PRW/,/files/ENCFF000PRX/,/files/ENCFF000PRY/,/files/ENCFF000PRZ/,/files/ENCFF000PSB/,/files/ENCFF000PSD/,/files/ENCFF000PSE/,/files/ENCFF001UIA/,/files/ENCFF001UIB/,/files/ENCFF002CLI/,/files/ENCFF910CML/,/files/ENCFF421OBJ/,/files/ENCFF499BAH/,/files/ENCFF056BXB/,/files/ENCFF748ERK/,/files/ENCFF299WPU/,/files/ENCFF925FRM/,/files/ENCFF258DFO/,/files/ENCFF958DMR/,/files/ENCFF086XMQ/,/files/ENCFF748RLY/,/files/ENCFF775SBU/,/files/ENCFF173FYP/,/files/ENCFF872FSE/,/files/ENCFF954VXQ/,/files/ENCFF947EVC/,/files/ENCFF955YEZ/,/files/ENCFF276RSI/,/files/ENCFF176UBJ/,/files/ENCFF677ERZ/,/files/ENCFF340JMW/,/files/ENCFF270TZK/,/files/ENCFF520IPU/,/files/ENCFF042DUJ/,/files/ENCFF177YDT/,/files/ENCFF535TYX/,/files/ENCFF710UMG/,/files/ENCFF054ZHU/,/files/ENCFF324BHL/,/files/ENCFF668IVT/,/files/ENCFF387XCG/,/files/ENCFF725GND/,/files/ENCFF435UFJ/,/files/ENCFF922BBL/,/files/ENCFF478JOM/,/files/ENCFF224GWF/,/files/ENCFF835DJP/,/files/ENCFF858QVH/,/files/ENCFF346UPP/,/files/ENCFF420KEV/,/files/ENCFF543QDV/	ENCBS114ENC	2,1	1	ENCAB000ANT	Homo sapiens	child	15	year										/replicates/99461862-77c9-4a1c-ad03-8b639c7e2713/,/replicates/17720694-4596-41c8-ac2a-6f662694060b/
/experiments/ENCSR396SKI/	ENCSR396SKI	ChIP-seq	TF ChIP-seq	eGFP-ZNF331	ZNF331	HEK293 genetically modified using site-specific recombination originated from HEK293	HEK293	eGFP-ZNF331 ChIP-seq on human HEK293 cells.	Michael Snyder, Stanford	ENCODE	released	/files/ENCFF864BVL/,/files/ENCFF076OOL/,/files/ENCFF437JMW/,/files/ENCFF116VYF/,/files/ENCFF068GSY/,/files/ENCFF179SYB/,/files/ENCFF613BJA/,/files/ENCFF708LNB/,/files/ENCFF659AOT/,/files/ENCFF974CCL/,/files/ENCFF616VRG/,/files/ENCFF554JDC/,/files/ENCFF492QRG/,/files/ENCFF725NQI/,/files/ENCFF456GTI/,/files/ENCFF010OMZ/,/files/ENCFF744EET/,/files/ENCFF430RTC/,/files/ENCFF364DBG/,/files/ENCFF581UJL/,/files/ENCFF610YUW/,/files/ENCFF380BFM/,/files/ENCFF512ZRB/,/files/ENCFF150HBX/,/files/ENCFF692VFL/,/files/ENCFF007AIU/,/files/ENCFF527LIL/,/files/ENCFF778JLP/,/files/ENCFF739JWE/,/files/ENCFF935HJA/,/files/ENCFF790BDI/,/files/ENCFF538EEF/,/files/ENCFF774LYA/,/files/ENCFF328MER/,/files/ENCFF135FAV/,/files/ENCFF265URB/,/files/ENCFF285WXY/,/files/ENCFF404UEW/,/files/ENCFF401CAV/,/files/ENCFF007RPI/,/files/ENCFF025HFB/,/files/ENCFF207PJL/,/files/ENCFF618SQA/,/files/ENCFF251BMM/	ENCBS173TWR,ENCBS649ULL	1,2	1	ENCAB976SGG,ENCAB615WUN	Homo sapiens	embryonic	unknown											/replicates/5e656a01-389b-4da6-bd47-6c233f6e3666/,/replicates/d09e1e01-3194-42df-80ce-a3337a524c14/
