tf_name	task_index	fold_num	run_num	epoch_num	test_prof_nll	test_count_mse	test_count_pears	test_count_spear	val_loss
E2F6	0	1	2	15	400.521	0.598	0.683	0.700	196.397
E2F6	1	1	3	13	238.183	0.598	0.628	0.645	106.077
E2F6	0	2	3	13	377.395	0.761	0.664	0.675	217.535
E2F6	1	2	3	13	221.269	0.758	0.601	0.628	124.934
E2F6	0	3	1	12	372.950	0.689	0.678	0.698	206.127
E2F6	1	3	1	12	217.915	0.545	0.585	0.608	115.511
E2F6	0	4	3	14	379.033	0.845	0.635	0.662	200.846
E2F6	1	4	3	12	225.612	0.672	0.627	0.620	113.899
E2F6	0	5	2	14	385.738	0.605	0.664	0.690	208.442
E2F6	1	5	1	11	225.199	0.705	0.609	0.636	114.786
E2F6	0	6	3	11	387.975	0.591	0.684	0.713	209.411
E2F6	1	6	3	13	232.660	0.484	0.629	0.656	118.235
E2F6	0	7	2	12	373.048	0.656	0.670	0.693	209.049
E2F6	1	7	1	14	222.330	0.733	0.607	0.646	118.138
E2F6	0	8	3	15	361.520	0.746	0.665	0.677	203.683
E2F6	1	8	3	15	213.225	0.749	0.584	0.610	115.636
E2F6	0	9	3	15	364.790	0.586	0.646	0.663	197.785
E2F6	1	9	3	15	213.020	0.548	0.575	0.607	110.703
E2F6	0	10	1	12	357.424	0.839	0.671	0.691	196.310
E2F6	1	10	2	15	209.823	0.893	0.606	0.620	108.963
FOXA2	0	1	3	13	257.532	0.671	0.626	0.581	152.445
FOXA2	1	1	3	15	310.858	0.521	0.614	0.559	194.286
FOXA2	2	1	3	11	189.082	0.499	0.567	0.535	109.144
FOXA2	3	1	1	15	209.243	0.324	0.566	0.561	128.910
FOXA2	0	2	1	15	292.714	0.560	0.680	0.650	149.326
FOXA2	1	2	1	11	337.218	0.413	0.660	0.604	196.383
FOXA2	2	2	3	12	185.610	0.637	0.552	0.517	111.763
FOXA2	3	2	3	14	206.396	0.304	0.566	0.550	130.007
FOXA2	0	3	1	14	284.703	0.743	0.623	0.600	171.155
FOXA2	1	3	2	12	332.500	0.546	0.625	0.594	222.784
FOXA2	2	3	3	14	183.469	0.580	0.534	0.510	110.291
FOXA2	3	3	2	13	203.194	0.341	0.568	0.549	129.081
FOXA2	0	4	2	15	277.841	0.643	0.645	0.597	165.151
FOXA2	1	4	2	15	321.837	0.388	0.645	0.597	216.781
FOXA2	2	4	1	12	182.786	0.503	0.555	0.525	109.509
FOXA2	3	4	3	15	201.374	0.432	0.571	0.558	129.352
FOXA2	0	5	3	13	272.747	0.664	0.633	0.610	159.592
FOXA2	1	5	2	15	325.305	0.453	0.619	0.587	205.828
FOXA2	2	5	3	15	184.486	2.777	0.327	0.549	106.239
FOXA2	3	5	2	11	205.767	0.391	0.551	0.554	125.383
FOXA2	0	6	1	13	255.109	0.794	0.609	0.553	155.865
FOXA2	1	6	3	15	290.408	0.385	0.623	0.571	207.970
FOXA2	2	6	1	15	183.131	0.370	0.565	0.544	109.764
FOXA2	3	6	2	15	201.207	0.384	0.579	0.573	127.588
FOXA2	0	7	2	15	266.429	0.873	0.575	0.584	144.095
FOXA2	1	7	2	15	317.555	0.649	0.580	0.562	184.402
FOXA2	2	7	3	13	186.003	0.681	0.563	0.532	107.025
FOXA2	3	7	2	14	205.005	0.442	0.549	0.557	123.288
FOXA2	0	8	3	15	260.812	0.762	0.633	0.593	152.344
FOXA2	1	8	2	14	313.181	0.674	0.572	0.592	201.055
FOXA2	2	8	2	10	179.263	0.401	0.580	0.553	108.417
FOXA2	3	8	3	15	198.365	0.278	0.590	0.598	127.191
FOXA2	0	9	2	15	259.771	0.669	0.618	0.564	146.130
FOXA2	1	9	1	15	307.433	0.629	0.616	0.554	196.139
FOXA2	2	9	3	12	185.754	0.722	0.549	0.533	106.438
FOXA2	3	9	3	15	205.568	0.421	0.563	0.564	119.565
FOXA2	0	10	3	13	265.114	0.543	0.641	0.591	147.789
FOXA2	1	10	1	14	303.853	0.510	0.618	0.551	193.997
FOXA2	2	10	2	14	184.763	0.493	0.557	0.534	107.394
FOXA2	3	10	1	15	205.407	0.451	0.560	0.534	128.747
SPI1	0	1	1	14	220.984	0.515	0.663	0.622	125.664
SPI1	1	1	2	12	151.678	0.349	0.648	0.607	78.108
SPI1	2	1	3	15	188.275	0.651	0.630	0.577	104.804
SPI1	3	1	2	15	185.640	0.301	0.732	0.705	101.590
SPI1	0	2	1	14	215.589	0.579	0.668	0.615	127.916
SPI1	1	2	2	15	139.183	0.431	0.600	0.572	88.554
SPI1	2	2	1	12	185.788	0.578	0.631	0.589	106.279
SPI1	3	2	1	15	186.089	0.351	0.737	0.717	110.467
SPI1	0	3	3	14	214.649	0.492	0.673	0.629	126.656
SPI1	1	3	2	15	131.661	0.463	0.616	0.570	82.108
SPI1	2	3	2	14	181.094	0.626	0.640	0.590	107.234
SPI1	3	3	2	14	179.286	0.286	0.710	0.689	111.323
SPI1	0	4	2	15	217.352	0.518	0.688	0.632	125.572
SPI1	1	4	1	15	143.909	0.514	0.602	0.598	77.495
SPI1	2	4	2	15	185.677	0.747	0.633	0.578	104.868
SPI1	3	4	3	13	179.709	0.260	0.698	0.680	108.194
SPI1	0	5	2	15	213.671	0.472	0.688	0.636	123.217
SPI1	1	5	2	13	137.822	0.365	0.621	0.570	83.702
SPI1	2	5	1	13	181.886	0.590	0.634	0.588	105.157
SPI1	3	5	3	13	173.458	0.315	0.725	0.687	106.222
SPI1	0	6	1	15	215.434	0.537	0.681	0.637	124.427
SPI1	1	6	2	14	132.736	0.346	0.611	0.564	79.961
SPI1	2	6	1	14	181.928	0.662	0.625	0.581	104.039
SPI1	3	6	2	12	174.770	0.319	0.728	0.693	100.463
SPI1	0	7	1	15	211.073	0.533	0.678	0.623	122.670
SPI1	1	7	1	13	134.979	0.348	0.643	0.607	75.964
SPI1	2	7	2	12	179.633	0.699	0.616	0.568	103.164
SPI1	3	7	2	15	177.912	0.314	0.718	0.697	102.364
SPI1	0	8	1	15	213.751	0.478	0.672	0.621	122.511
SPI1	1	8	2	15	136.724	0.372	0.579	0.563	78.229
SPI1	2	8	2	13	180.579	0.654	0.618	0.564	101.217
SPI1	3	8	1	13	177.748	0.291	0.732	0.712	105.592
SPI1	0	9	3	10	215.747	0.501	0.660	0.624	123.858
